,Train R2s,Test R2s,Overall R2s,Train NRMSES,Test NRMSES,Overall NRMSES,Models,Simplicities
0,0.8931,0.871,0.8886,0.393,0.4076,0.3965,0.0606201589107513*x_3**2*(x_0 - 4.55933475494385)*(x_2*x_3 + 0.382592111825943)*(-x_0*x_3 + x_2 + 10.1361665725708)/(cos(x_1) - 2.84250593185425) - 2.55024600028992,-2.1
1,0.8752,0.9044,0.8842,0.4124,0.3821,0.4044,0.000150991254486144*x_0**3 - 0.000605390756390989*x_0*x_2*(x_0 - x_1**2 + x_2)*(x_3 - (x_1 - 3.88673067092896)/(x_3 - 1.07689940929413) + 3.59287023544312) - 0.0176087375730276*x_0*(x_1 - x_3) + 0.00153046939522028*x_2*(x_3 - 0.632769286632538)/sin(x_0) - 1.54894781112671,-2.4
2,0.8865,0.8765,0.8839,0.395,0.4341,0.4048,(0.05069457747469913*x_0 - 0.05069457747469913*x_2 + 0.05069457747469913*x_3)*(x_2 + cos(1) - (x_1 + 4.944945849843177)/(x_0 + x_1))*(3.5708354693498268*x_0*x_3**2 - x_0 - sin(x_3) + 0.3360613012029569)/(x_1 - cos(x_1) + 7.053779909583711) - 3.381454,-2.4
3,0.8887,0.8715,0.8843,0.3946,0.4315,0.4041,'-0.000315102224703878*x_0*x_3**2*(x_0*x_3 + sin(x_2))*(-x_0*x_2 + x_0*x_3*(x_2 + x_3)*cos(x_1)/(x_3 - 4.08744096755981) - x_0 + x_1 + x_3 + 17.339879989624)*sin(x_3) - 1.26636302471161',-2.3
4,0.8902,0.8634,0.8834,0.3932,0.4405,0.4058, -(21.4419860839844*x_2*x_3 - 16.6544189453125*x_2 + 1.80237317085266*cos(x_3) - 0.0287182163447142)*(-0.428913623094559*x_0*x_3 + x_1 + sin(x_1) + sin(x_1 + x_2 - 2*x_3) + 8.65691375732422) - 0.803081452846527,-2.2
5,0.8765,0.8877,0.8797,0.41,0.418,0.4121,'(0.003873934069024174*x_0 - 0.023623563741569*x_1 + 0.005455506392043984)*(x_0 - 5.576176*x_1 + 1.4456015668029496)*(x_0*x_3 - 0.711259*x_0 + 2.8781950740922646*x_2 - 4.952704)*sin(cos(1.9450236006832087/(x_2 + 1.458317627139215))) + 0.6860386509255394',-2.2
6,0.8744,0.9049,0.8842,0.4115,0.3842,0.4042,'-0.009477709373552686*x_0*x_1*x_3*(x_1 - 5.078491)/(x_3 - 4.577389) + 0.004744200993516793*x_0*x_3**2*(x_0 + x_2)*(x_2 + 0.5811773311853556)*(x_3 + cos(x_1) + cos(x_2 - x_3) + 0.8610352745595037) + (0.004745682268064854*x_2 + 0.007022129103868347)*(-cos(x_3) + x_2/x_1)/cos(x_0) - 4.549306',-2.5
7,0.8843,0.8863,0.8849,0.4029,0.4023,0.4030,'(0.2532338681966776*x_3**3*(-x_0 + x_2) + 0.2532338681966776*(2*x_0 + 3.2142981923417495)/(10.397769782341344 - 3.742898*x_3))*((x_0 - x_2)*(-0.698798379709738*x_2 - 0.310788287684197)/(x_1 + 5.207171319821787) + cos(cos(x_1 - x_2))) - 1.610548',-2.4
8,0.8824,0.8824,0.8824,0.4018,0.4246,0.4074,'(0.0508922263979912*x_0 - 0.162755370140076*x_2 + 0.0508922263979912*cos(x_0))*(1.75166165828705*x_2 + x_3 - 22.1700248718262/x_0)*(2*x_0*x_3**2 - x_0 - x_2 + cos(0.598085820674896*x_0))/(x_1*x_3 + x_3 + 2.49769043922424) - 0.0730332061648369',-2.4
9,0.8844,0.8843,0.8844,0.4085,0.3886,0.4039,'(4.3501615524292*x_2 + 4.3501615524292*x_3/(x_1 + 4.99694633483887 - x_1/x_0))*(-x_0 + 2.54353284835815*x_2 + 23.0428504943848)/(cos(x_1) + (x_3 - 3.68096780776978)/x_3) + 0.261884242296219',-2.3
