,a_RhoHV_train_r2,a_RhoHV_test_r2,a_RhoHV_all_r2,a_RhoHV_train_rmse,a_RhoHV_test_rmse,a_RhoHV_train_nrmse,a_RhoHV_test_nrmse,a_RhoHV_all_nrmse,a_RhoHV_equation,a_RhoHV_simplicity,b_RhoHV_train_r2,b_RhoHV_test_r2,b_RhoHV_all_r2,b_RhoHV_train_rmse,b_RhoHV_test_rmse,b_RhoHV_train_nrmse,b_RhoHV_test_nrmse,b_RhoHV_all_nrmse,b_RhoHV_equation,b_RhoHV_simplicity,mean_train_r2,mean_test_r2,mean_train_rmse,mean_test_rmse,mean_train_nrmse,mean_test_nrmse,mean_simplicity
0,0.912827022376739,0.8839722529875704,0.907023095988184,3.523827015644099,3.5302646562818443,0.36221735464569016,0.36595650828111925,0.36314768794553265,(150.667541775*KDP + 66.1483607936)*sqrt(exp(-9.53446*(0.0156426*Z - 1)**2 - 1.44857*(0.186648*ZDR + 1)**2)) - 5.13129,-2.1,0.8643119457586212,0.8908743579145292,0.8716154441694625,4.55984499441733,4.339407352385118,0.4218177830147816,0.41582021434239114,0.4204454663934424,(19.431757644 - 0.8796974772*Z)*(-0.203338*ZDR - 0.875812)*(1.28214*KDP + exp(-29.4917*(1 - 0.0220088*Z)**2 - 0.863548*(ZDR - 0.182704)**2) - 0.0423996) + 2.5882,-2.2,0.8885694840676801,0.8874233054510499,4.0418360050307145,3.934836004333481,0.39201756883023586,0.3908883613117552,-2.1500000000000004
1,0.9169910457815437,0.8746279873620817,0.9071812439081354,3.3724824799176187,3.9374466318727563,0.3484290992590671,0.4020043901709176,0.3628387107078716,(54.8652308244*KDP + 39.7658707296)/(-0.0565605*Z + exp(-0.122311*(1 - 0.627795*KDP)**2 - 2.88829*(1 - 0.381299*ZDR)**2) + 3.74913) - 15.3186,-2.2,0.8837478257688305,0.8600947994464077,0.8784610180424217,4.3494164572400535,4.484476598639822,0.3974226442110915,0.44683684063601037,0.4090826678691433,68.5258 - 68.4162*exp(-0.553386*(KDP + 0.0119888*Z - 0.316418)**2 - 2.0*(-0.0150134*Z + exp(-2.04417*(KDP - 0.914792)**2 - 3.11847*(0.220528*ZDR - 1)**2) + 0.29232)**2),-2.3,0.900369435775187,0.8673613934042447,3.860949468578836,4.21096161525629,0.3729258717350793,0.424420615403464,-2.25
2,0.9038331623660006,0.9080604015200228,0.9048866612533414,3.5918753357675683,3.4862057406765845,0.3678438911367278,0.36549437089339426,0.36729621805320145,97.5092*exp(-8.56625*(1 - 0.0126723*Z)**2*(0.406226*KDP - 1)**2 - 3.29251*(0.0162767*Z - 1)**2*(ZDR - 0.225979)**2) - 0.240314,-2.2,0.8771212171138074,0.8858406274251384,0.879819400045681,4.30587168693197,4.514320078638476,0.4138694149468292,0.38761481723258756,0.4067901855177119,69.7243 - 69.0335*exp(-0.649164*(-KDP - 0.0557799*ZDR + 0.0556037)**2 - 2.0*exp(-0.709912*(0.254527 - ZDR)**2 - 12.5341*(0.0141554*Z - 1)**2)),-2.3,0.890477189739904,0.8969505144725806,3.948873511349769,4.00026290965753,0.3908566530417785,0.3765545940629909,-2.25
3,0.9023089338011862,0.9131831990153554,0.9059874525093434,3.4032568617112693,3.9391029312444927,0.35541801295996944,0.38981070915676963,0.365164586857029,(131.47506789*KDP + 47.630194986)*exp(-4.86836*(1 - 0.0143459*Z)**2 - 0.339622*(0.396623*ZDR + 1)**2) - 3.35018,-2.1,0.8585587920726585,0.9025190878728109,0.872120291002293,4.545024706425234,4.349132247780498,0.42678379119524273,0.3984789647662553,0.41961799287005275,59.1259*exp(-11.4971*(0.0208702*Z - 1)**2 - 2.0*(-0.658518*KDP + exp(-6.07572*(1 - 0.461377*ZDR)**2 - 0.955173*(0.0948836*ZDR + 1)**2) + 0.938124)**2) + 1.14885,-2.4,0.8804338629369224,0.9078511434440831,3.9741407840682514,4.144117589512495,0.39110090207760606,0.3941448369615125,-2.25
4,0.907229187474782,0.9016266571676765,0.9055139154787831,3.386212522542144,4.014457638312896,0.3503327204411221,0.40819458090220606,0.36608309060535643,(148.390291938*KDP + 38.5878108196)*exp(-7.19331*(1 - 0.0187983*Z)**2 - 0.795357*(-0.211765*ZDR - 1)**2) - 1.26931,-2.1,0.8876682964620677,0.837045258726865,0.8734208841989985,4.128137726237005,5.373678066702713,0.3864340108844076,0.4968522647687403,0.4174786892689517,(-20.542467474*KDP - 17.858122884)*(-0.486328*KDP + exp(-2.0*exp(-59.5971*(0.0219803*Z - 1)**2 - 1.80199*(ZDR - 0.489901)**2) - 0.107351/(1 - 0.0144891*Z)**2) - 0.60962) + 4.51581,-2.4,0.8974487419684248,0.8693359579472708,3.757175124389575,4.694067852507804,0.36838336566276486,0.4525234228354732,-2.25
5,0.9118961390620506,0.8919370487315945,0.9077598587741345,3.5287810963732307,3.459012794229884,0.36214208888774957,0.3603264878771284,0.3617060081572319,(0.59913284601*Z - 12.0041700384)*(0.0384198*Z + (2.00443 - 0.625232*ZDR)*(1.64798*KDP + 0.263373) - 1.32347) + 0.88133,-2.0,0.8697969421633338,0.863807809910196,0.8682332823031023,4.438574134959335,4.920686896150843,0.4055677841818689,0.49030721554442475,0.42594757135736677,73.1239 - 73.1743*exp(-0.362765*(0.0432177*Z - 1)**2*(0.193182*ZDR - 1)**2 - 0.542933*(KDP + 0.0587823*ZDR - 0.0255033)**2),-2.2,0.8908465406126922,0.8778724293208953,3.983677615666283,4.189849845190364,0.38385493653480923,0.4253168517107766,-2.1
6,0.9046840829706513,0.9118606234325816,0.9063877908953953,3.620812154419137,3.275238924308163,0.3662461109151239,0.35700527893866596,0.36438625795874113,(31.01619779*KDP + 0.6391882257*Z - 17.358125198)*(0.0508069*Z - 0.398712*ZDR - 0.80065) + 1.58408,-1.8,0.8829010907097087,0.8452400157350788,0.8729276811454086,4.257459353859351,5.094474190051216,0.4034668786036136,0.4546853410634148,0.41829123083186864,64.6611 - 65.9143*exp(-0.665317*(KDP + 0.0198173)**2 - 2.0*(0.00537102*Z + exp(-0.599194*(0.292023 - ZDR)**2 - 14.1285*(1 - 0.0151719*Z)**2) - 0.0117876)**2),-2.3,0.8937925868401799,0.8785503195838302,3.9391357541392438,4.184856557179689,0.38485649475936873,0.4058453100010404,-2.05
7,0.9106208750927518,0.8974956303193111,0.9073221749452821,3.4519345532917494,3.715469299381648,0.35277576436832364,0.39204027187413243,0.3625631486179842,10.5565*KDP + (94.716831486*KDP + 45.148714485)*exp(-6.39357*(0.0153655*Z - 1)**2 - 0.321486*(0.4852*ZDR + 1)**2) - 1.50071,-2.1,0.885032683891095,0.8003752957048402,0.8671364981131635,4.3587738739560855,5.195835823277999,0.3933261730579423,0.539811173357102,0.4277166236880931,73.2136 - 73.0175*exp(-0.345041*(1 - 0.22544*ZDR)**2*(0.0436264*Z - 1)**2 - 0.572037*(-KDP - 0.0580891*ZDR + 0.0434498)**2),-2.2,0.8978267794919235,0.8489354630120757,3.9053542136239177,4.455652561329824,0.373050968713133,0.46592572261561727,-2.1500000000000004
8,0.9037800726404266,0.9098144209216186,0.9055154170517404,3.503760816786365,3.7000012397002546,0.36451055567494883,0.3701937310362571,0.36608018169736345,20.4992*KDP - 18.6923*(1 - 0.0453019*Z)**2*(1.65603*KDP + 1.16564)*(0.267342*ZDR - 0.736457) + 0.279694,-2.0,0.8817640865705988,0.872490794332287,0.8794823702899004,4.122522847267829,5.019825491779821,0.404776243499027,0.4081134358662554,0.40736017939247215,68.0437*tanh(1.12241*(-KDP - 0.139798)**2*(0.11267*ZDR + 0.182973) + exp(-0.60209*(0.0364333 - ZDR)**2 - 13.391*(1 - 0.0161654*Z)**2)) + 0.45153,-2.3,0.8927720796055127,0.8911526076269528,3.813141832027097,4.359913365740038,0.3846433995869879,0.3891535834512563,-2.15
9,0.9128854573332219,0.8858522307669707,0.9061424423021582,3.4144154352694662,3.8994856580301986,0.35275609949942577,0.3981464157581317,0.3648634561521908,(57.087765505 - 2.24534252421*Z)*(0.313133*ZDR - 1.1205)*(0.922767*KDP + 0.0123779*Z - 0.220822) + 1.2433,-1.9,0.8834250965314969,0.858729249024825,0.8770368155353853,4.271391716024251,4.797141005159999,0.3997246793009986,0.4439356291499073,0.4114725171735432,422.929*exp(-2.0*(-0.57573*KDP + exp(-4.62193*(1 - 0.426506*ZDR)**2 - 1.20264*(-0.160575*KDP - 1)**2) + 0.890144)**2 - 2.0*exp(2*exp(-2.80608*(1 - 0.0477472*Z)**2 - 5.11653*(KDP - 0.197267)**2))) + 2.149,-2.5,0.8981552769323594,0.8722907398958979,3.842903575646859,4.348313331595099,0.3762403894002122,0.42104102245401953,-2.2
