,a_ZDR_train_r2,a_ZDR_test_r2,a_ZDR_all_r2,a_ZDR_train_rmse,a_ZDR_test_rmse,a_ZDR_train_nrmse,a_ZDR_test_nrmse,a_ZDR_all_nrmse,a_ZDR_equation,a_ZDR_simplicity,b_ZDR_train_r2,b_ZDR_test_r2,b_ZDR_all_r2,b_ZDR_train_rmse,b_ZDR_test_rmse,b_ZDR_train_nrmse,b_ZDR_test_nrmse,b_ZDR_all_nrmse,b_ZDR_equation,b_ZDR_simplicity,mean_train_r2,mean_test_r2,mean_train_rmse,mean_test_rmse,mean_train_nrmse,mean_test_nrmse,mean_simplicity
0,0.9279947712964578,0.9267133026548887,0.9276176823391824,3.4808794498944358,3.9249277792568575,0.33291756045534526,0.3735112028185886,0.3436122821724491,(8.1637302474*KDP + 23.4977538588)*(1.10477*KDP + 0.0313308*ZDR + exp(-1.14127*(0.218876 - ZDR)**2 - 19.2849*(0.0209147*Z - 1)**2) - 0.491379) + 11.4751,-2.2,0.8587821608138151,0.8421492892554933,0.854587939758189,3.873179519902992,4.119147262376804,0.4066487050847914,0.4351661693803457,0.4138964818550547,65.7572*exp(-12.6702*(0.0180349*Z + 0.397305*exp(-1104.49*(1 - 0.97998*RhoHV)**2 - 2912310.0*(RhoHV - 0.967316)**4) - 1)**2 - 2.0*tanh(1.07289*exp(-1.3478*KDP))**2) + 1.20804,-2.4,0.8933884660551364,0.884431295955191,3.677029484898714,4.022037520816831,0.36978313277006836,0.4043386860994671,-2.3
1,0.9267329265037728,0.9298411992220948,0.9275487552600317,3.6413694006009663,3.4687851819493556,0.34011618857644627,0.3554778825076628,0.3437758480544063,(-11.4259416176*KDP - 37.293368945)*(-0.778488*KDP + exp(-0.0388527*(0.066482*Z - 1)**2 - 2.0*exp(-20.6482*(1 - 0.0193157*Z)**2 - 1.09146*(ZDR + 0.145188)**2)) - 0.11834) + 31.9543,-2.4,0.8656435078852683,0.8064401607473098,0.8542802381062065,3.917072201679721,4.009077924879398,0.40286313573622035,0.4519647429498401,0.4143341667637397,59.4623*exp(-1.25056*(0.690653*KDP - 1)**2 - 7.1587*(-0.0289828*Z + 0.528564*exp(-0.036272*(0.610458*ZDR - 1)**2 - 2.0*exp(-1935.71*(0.987728*RhoHV - 1)**2 - 4881.44*(RhoHV - 0.975053)**2)) + 1)**2) + 1.63497,-2.5,0.8961882171945206,0.8681406799847023,3.779220801140344,3.738931553414377,0.3714896621563333,0.40372131272875145,-2.45
2,0.922458560847969,0.9257257111468792,0.9234087693937112,3.621413994042701,3.927090474729586,0.3457961254076899,0.37553629206697875,0.3534613730915199,33.8382*KDP + 30.7357*exp(-231.742*(1 - 0.734711*RhoHV)**2*(1 - 0.0176467*Z)**2 - 2.81442*(ZDR - 0.767755)**2) + 1.22624,-2.2,0.853791235514296,0.8537806360748627,0.8537915453095647,3.9060699646969925,4.066840768844153,0.4095512366376767,0.4313911958702577,0.4150283507257996,8.39839*(KDP + 0.104083)**2*(49.1884*RhoHV - 47.0173) + 57.0819*exp(-1.12267*(0.591598*KDP - 1)**2 - 13.5908*(-0.020044*Z + 0.0149188*ZDR + 1)**2) + 1.26861,-2.3,0.8881248981811325,0.8897531736108709,3.763741979369847,3.9969656217868694,0.3776736810226833,0.4034637439686182,-2.25
3,0.9262821049253752,0.9346790355560436,0.9285794686151083,3.5826979751097165,3.544772971222267,0.33681589145071683,0.3557040758739386,0.341321758958927,(-8.2349891684*KDP - 25.18251411)*(-1.20098*KDP + exp(-0.119154*(0.0509714*Z - 1)**2 - 2.0*exp(-17.983*(1 - 0.0188576*Z)**2 - 1.76178*(ZDR - 0.359679)**2)) + 0.357258) + 33.9093,-2.4,0.8589924606721389,0.8205056536202981,0.8494208310677581,3.8785533295471084,4.364004055654881,0.4057090010635193,0.4662512654835399,0.42118604067580334,69.3836*exp(-10.4506*(1 - 0.520737*KDP)**2*(0.0144524*Z - 1)**2 - 48.8255*(KDP + 0.863879)**2*(RhoHV - 0.983334)**2) + 0.898988,-2.2,0.892637282798757,0.8775923445881708,3.7306256523284125,3.954388513438574,0.3712624462571181,0.41097767067873925,-2.3
4,0.9292000665936595,0.9091780939341266,0.9235778272444599,3.4835176908382612,4.270160782174096,0.3354162313604073,0.39841715665722954,0.35307106450021014,47.0449 - 50.3155*tanh((0.0303268*Z - 2.18103)*(0.982867*KDP + exp(-1.75333*(1 - 0.359383*KDP)**2 - 2.0*log(2.06797 - 1.29162*ZDR)**2) - 1.25672)),-2.2,0.857990866305633,0.8328451285242227,0.8519816994756138,3.9111672144288687,4.146200363992961,0.41659064193461975,0.41990908480728817,0.4175891708766026,65.9377*exp(-41.7073*(-0.754676*KDP - 1)**2*(RhoHV - 0.989226)**2 - 9.68353*(0.206575*KDP + 0.014195*Z - 1)**2) + 0.801156,-2.2,0.8935954664496463,0.8710116112291746,3.697342452633565,4.208180573083529,0.37600343664751357,0.40916312073225886,-2.2
5,0.9324622439478569,0.9146035350806461,0.9267279406965573,3.273692181177293,4.497739998471174,0.3254979718823814,0.3844154607236235,0.34571771607483837,-19.7523 + 113.28*exp(-2.0*exp(-0.328024*(KDP + 0.727628)**2 - 34.7039*(0.0371221*Z - 1)**2*exp(-2146.45*(0.73857 - KDP)**2*(RhoHV - 0.997792)**2 - 2.2907*(0.275837*ZDR + 1)**2))),-2.4,0.8607163665963685,0.8275593487147042,0.852955308632157,3.8914320854543085,4.151866946099913,0.4064488994648684,0.44562658406436195,0.4162135321512982,2.17206*Z - 53.0701*exp(-3.27413*(0.0243323*Z - 1)**2 - 2.0*exp(-5230.34*(0.983672 - RhoHV)**2 - 4.46525*(1 - 0.672844*KDP)**2)) - 20.3167,-2.3,0.8965893052721128,0.8710814418976751,3.582562133315801,4.324803472285543,0.3659734356736249,0.41502102239399274,-2.3499999999999996
6,0.9232708179484878,0.9267166428026092,0.9243204408381321,3.572008466230218,3.97932896174687,0.34357711005889685,0.3724124639204352,0.35135143634192334,88.7207*exp(-0.0449634*(0.193923 - ZDR)**2 - 19.5506*(1 - 0.00831931*Z)**2*exp(-1.62443*(-KDP - 0.227542)**2*(0.517601*ZDR - 1)**2 - 1.38577*(0.287622*KDP + 1)**2)) - 3.77109,-2.4,0.8629819330465047,0.8366791463081791,0.8564397345647221,3.809412169468262,4.20093668033023,0.4083568152411746,0.41785075302324665,0.41125259121290714,72.197 - 71.3597*exp(-0.326633*(-0.454598*KDP - 0.0424406*Z + 1)**2 - 2.0*exp(-5.47262*(1 - 0.717567*KDP)**2 - 4.0*tanh(0.505394*KDP + 38.7659*RhoHV - 38.5509)**2)),-2.4,0.8931263754974963,0.8816978945553942,3.69071031784924,4.09013282103855,0.3759669626500357,0.3951316084718409,-2.4
7,0.916108935056534,0.9518681373579518,0.9260936222535402,3.7975074903251342,3.0974736573525545,0.3620256467289812,0.2976444347950058,0.3472109357116359,(6.2164892132*KDP + 14.9178308328)*(1.70403*KDP + 0.0144471*Z + exp(-1.57949*(0.4712 - ZDR)**2 - 21.2372*(1 - 0.0206015*Z)**2) - 1.70698) + 19.7032,-2.2,0.8461046528519549,0.8213433364799965,0.8408514942164296,4.136114182383272,4.062490690328259,0.42763366402815356,0.4502224936297243,0.43300489281586585,58.1115 - 57.4853*exp(-0.383278*(1 - 0.0448757*Z)**2*(KDP + 0.898251)**2 - 2.0*exp(-21.7676*(0.282114 - ZDR)**2 - 25.1186*(KDP - 0.888508)**2)),-2.3,0.8811067939542445,0.8866057369189742,3.9668108363542034,3.5799821738404067,0.3948296553785674,0.37393346421236506,-2.25
8,0.9302704935167116,0.9193137012303934,0.9275551568595496,3.5275424744053074,3.804037091921979,0.34279013713844625,0.34575424240347696,0.3437606601585628,(18.5520499245*KDP + 24.6362941736)*(0.420467*KDP + exp(-2.0*tanh(1.01811*ZDR - 0.756647)**2 - 0.723887/(1 - 0.0450417*Z)**2) + 0.402863) - 8.03193,-2.2,0.8510402938647004,0.84160477741682,0.8486160427083956,3.959185955450506,4.182294205989137,0.41941596137844883,0.43026361635904625,0.4223100803447175,67.4415*exp(-63.076*(0.995091 - RhoHV)**2*(0.581889*ZDR + 1)**2 - 5.0893*(-0.0177058*Z + (0.0112529080292*KDP - 0.360139320826)*(0.796451*KDP - 0.813376) + 1)**2) + 0.192151,-2.3,0.890655393690706,0.8804592393236067,3.7433642149279067,3.993165648955558,0.3811030492584475,0.38800892938126164,-2.25
9,0.924588569687668,0.9124216599427172,0.9214897098020902,3.6611714635939334,3.990662271935199,0.34996313378793326,0.3804074264046238,0.3578621178730166,82.8999 - 83.9625*exp(-0.379869*(KDP + 0.299091)**2 - 2.0*exp(-19.2749*(1 - 0.0152667*Z)**2 - 4.82621*(ZDR - 0.81771)**2)),-2.2,0.8468570632410103,0.8388919980061383,0.844882315080233,4.044042538239769,4.128613651070658,0.4263494051501792,0.4307930082718077,0.4274862775038642,77.858*exp(-10.2752*(1 - 0.52805*KDP)**2*(0.0141611*Z - 1)**2 - 35.0719*(0.983318*RhoHV - 1)**2*(0.828444*ZDR + 1)**2) + 1.15254,-2.3,0.8857228164643391,0.8756568289744278,3.8526070009168514,4.059637961502929,0.38815626946905624,0.4056002173382158,-2.25
