,str_train_r2,str_test_r2,str_all_r2,str_train_rmse,str_test_rmse,str_train_nrmse,str_test_nrmse,str_all_nrmse,str_equation,str_simplicity,con_train_r2,con_test_r2,con_all_r2,con_train_rmse,con_test_rmse,con_train_nrmse,con_test_nrmse,con_all_nrmse,con_equation,con_simplicity,mix_train_r2,mix_test_r2,mix_all_r2,mix_train_rmse,mix_test_rmse,mix_train_nrmse,mix_test_nrmse,mix_all_nrmse,mix_equation,mix_simplicity,mean_train_r2,mean_test_r2,mean_train_rmse,mean_test_rmse,mean_train_nrmse,mean_test_nrmse,mean_simplicity
0,0.7409803388625301,0.748388157485636,0.7428657485453103,2.2481486054142015,2.199250757188105,0.4281445238548588,0.4305976370784164,0.42876539814627607,(730.81529605*RhoHV - 660.82471245)*exp(-3.37199*(0.67753 - KDP)**2 - 0.780282*(-0.308662*ZDR - 1)**2/(1 - 0.054814*Z)**2) + 1.5745,-2.2,0.8602971129654934,0.8577804859231122,0.8597530368490378,6.105348545665083,6.197796596347261,0.2924427837156503,0.2837988935888753,0.29021419951640315,(1.09880623512*Z - 32.260263609)*(1.63369*KDP + exp(-1.1038*(0.462058 - ZDR)**2 - 351.014*(RhoHV - 0.987502)**2) - 0.103749) + 3.95825,-2.1,0.5810155874321052,0.40385967915676635,0.5368659334847854,5.605939465747411,6.888307073047607,0.4057691656947321,0.44769084941855225,0.4191313457947604,1.23036*Z - 6.46248*ZDR + 19.7241*tanh(2.82501*KDP - 1.68415) - 15.1326,-1.7,0.7274310130867097,0.6700094408551717,4.6531455389422325,5.095118142194324,0.3754521577550804,0.3873624600286147,-2.0000000000000004
1,0.7378461706689596,0.7681155946688566,0.7459410656354235,2.23304324904823,2.1910125090332415,0.4261867148174672,0.4261569676932652,0.42619367564115174,24.5615*exp(-3.60512*(KDP - 0.677231)**2 - 134.892*((1 - 0.0192462*Z)**2 + (4.441207904*RhoHV - 4.213458648)*(0.320597*ZDR - 0.548289))**2) + 1.80581,-2.2,0.8692243445460652,0.8121199613331034,0.856363986338004,6.0144271607641375,6.7341679811314865,0.2857016858096173,0.3159262575238081,0.293699763269076,(21.6555441594*KDP + 11.7447308802)*(0.248955*KDP + 0.0514971*ZDR + exp(-10.7224*(1 - 0.0199283*Z)**2 - 1.23082*(ZDR - 0.526582)**2) + 0.706725) - 6.21255,-2.2,0.5621089388604259,0.5608423379662912,0.5628032531007408,5.990029619183085,5.15037228758043,0.41448169397199314,0.3810557260501629,0.40722575679704337,38.6906*KDP + 131.879*RhoHV - 124.186,-1.3,0.7230598180251503,0.7136926313227505,4.745833342998484,4.691850925915053,0.3754566981996925,0.374379650422412,-1.9000000000000001
2,0.7498219264927595,0.7654639779137611,0.7537771276187083,2.2101077727220138,2.120643996678684,0.41985495089594743,0.4184117398112363,0.41956954948992997,(127.474380638*KDP + 31.37204389)*exp(-18.5108*(1 - 0.0232565*Z)**2 - 18.813*(-0.757068*RhoHV + 0.326051*exp(-1.56412*(-KDP - 0.709211)**2 - 5.14823*(0.525902*ZDR - 1)**2) + 1)**2) + 1.23137,-2.4,0.8613238590245205,0.8508621527594307,0.8587569713328664,6.065608609008729,6.397712848282147,0.29095374264449575,0.2917611310505867,0.29124295942793055,101.476*exp(-1.76153*(0.41609*KDP - 1)**2 - 4.63489*(0.0433913*KDP + 0.0133168*Z + 0.656894*exp(-19.8824*(0.018214*Z - 1)**2 - 2.49287*(ZDR - 0.479689)**2) - 1)**2) + 0.785973,-2.4,0.636929343667848,0.24977098882144388,0.5752656003714389,5.087835924241632,7.220891610342698,0.3971768871383008,0.3936781098998976,0.4013797853249938,0.0436214*exp(1.9968*KDP + 0.143105*Z - 0.719012*ZDR) + 1.07101,-1.7,0.7493583763950427,0.6220323731648786,4.454517435324124,5.246416151767843,0.3693285268929147,0.36795032692057356,-2.1666666666666665
3,0.7227918613756362,0.7410825694503456,0.7285562474046815,2.23310112184373,2.479846607291048,0.4334461523553832,0.45892437715535506,0.44053426131922035,22.7093*exp(-5.67023*(-KDP + 0.309828*ZDR + 0.171368)**2 - 15.008*(0.0206638*Z + 0.0610324*ZDR - 1)**2) + 0.8708,-2.1,0.864089507873287,0.8415656552144187,0.8574986214428584,5.832655288106195,7.112942288140671,0.2799759287761306,0.32373060186401725,0.29253744065026993,(-1.26236*KDP - 0.457263)*(1.09832278556*Z - 18.0148515316)*(-3.58764*RhoHV + exp(-0.659648*(0.0540276*KDP + 1)**2 - 3.7686*(0.408458*ZDR - 1)**2) + 2.49073) - 3.04782,-2.3,0.5595260637383355,0.4899505770898528,0.5413597203999587,5.756541734754258,6.407973821797502,0.4007180315697351,0.4653678171639911,0.4170929747693227,1.11738*Z - 5.84285*ZDR + 2.41541*exp(3.52764*KDP) - 32.3028,-1.6,0.7154691443290861,0.690866267251539,4.607432714901394,5.333587572409741,0.371380037567083,0.4160075987277878,-2.0
4,0.7424710000773516,0.7559570058082605,0.7457268025801216,2.271411644761462,2.0736040230291937,0.4297659146551656,0.41433067377672517,0.42637335504122836,32.0848*exp(-13.9453*(1 - 0.021561*Z)**2 - 23.7407*(0.339705*KDP + 0.834142*RhoHV - 0.064162*ZDR - 1)**2) + 0.813565,-2.1,0.8783362632074666,0.8197957649027958,0.8669257877200867,5.905548369901365,6.158592705142482,0.27626533585678426,0.30277026626044273,0.28269548785178367,31.2132*KDP + (17.184020605*KDP + 21.947828795)*exp(-10.9578*(1 - 0.0170807*Z)**2 - 314.058*(RhoHV - 0.0526708*ZDR - 0.96584)**2) + 1.68039,-2.2,0.5932511566717302,0.45030133435246744,0.5635900349599638,5.625957531276783,6.222512571806958,0.3827004855191835,0.48671684088806577,0.4068591688504924,36.8409*KDP + 111.181*RhoHV - 103.328,-1.3,0.7380194733188494,0.6753513683545079,4.600972515313203,4.818236433326212,0.3629105786770445,0.40127259364174456,-1.866666666666667
5,0.743628110340332,0.7877048539971938,0.7545194431780085,2.2422775240437436,2.0026848824440964,0.4246713956605072,0.3989194112301851,0.4189366105201855,25.0198*exp(-2.0*exp(-0.499665*(0.731905*KDP + 1)**2 - 6.65792*(KDP + (0.62459666131 - 0.31995714316*ZDR)*(17.0616*RhoHV - 16.2494) - 0.0890478)**2) - 2.0*tanh(0.0926277*Z - 3.80896)**2) - 0.5206,-2.4,0.8619238447497817,0.8362175207076634,0.8560546714379794,6.161356699022201,6.349285219836953,0.2896335223275927,0.30745534313231065,0.2940158290486758,15.3309*(KDP + 0.51534)**2 + 20.6538*exp(-49.2343*(0.0214243*Z - 1)**2 - 1.55775*(ZDR - 0.479794)**2) + 0.473901,-2.1,0.6484800173998134,0.3841962600038401,0.5861694715641139,5.238401169237073,6.65426350617574,0.3629951117835795,0.4901052916290206,0.39619413384777014,38.8661*KDP - 10.1274*tanh(2.36799*ZDR - 1.38676)**2 + 8.97927,-1.7,0.7513439908299757,0.6693728782362324,4.547345130767673,5.002077869485596,0.3591000099238932,0.39882668199717214,-2.066666666666667
6,0.7579908610745574,0.7170861515821197,0.7482886674773443,2.1761035317212674,2.3172725883196588,0.41025946526473184,0.46833598780943575,0.42422000931751797,23.0091*exp(-31.312*(0.0248877*Z - 1)**2 - 2.0*exp(-1.29598*(0.462977*ZDR - 1)**2 - 4.0*(-0.698689*KDP + (3.84981 - 4.44259*RhoHV)*(1.84754*KDP + 1.2942) + 0.644447)**2)) + 1.40565,-2.4,0.8659264758302768,0.8676444202185313,0.8665240607758801,6.09399323461582,5.619150750069575,0.2834964275683606,0.2812051500382962,0.2831218695397311,(19.015498061*KDP + 5.5075827877)*(0.0506868*Z + exp(-1.55057*(ZDR - 0.498832)**2 - 2.0*tanh(22.5922*RhoHV - 22.3656)**2) - 0.852501) - 2.62937,-2.2,0.6632724014075361,0.31981465209569504,0.5627668408113597,4.93843420887367,7.76645290195215,0.35165511797795207,0.5277317940171337,0.4072427145094199,37.5721*KDP + 138.981*RhoHV - 131.213,-1.3,0.7623965794374569,0.6348484079654487,4.402843658403586,5.234292080113795,0.34847033693701485,0.42575764395495524,-1.9666666666666666
7,0.7521658220905427,0.7227670237410937,0.7449515342277723,2.201170328452991,2.302265367655614,0.420040931637528,0.44799986661928365,0.4270228576117367,(277.08896786*RhoHV - 248.74174838)*(1.17233*KDP - tanh(0.665279*ZDR + 0.0702712) + 1.04998)*exp(-1.46491*(0.756067 - KDP)**2 - 27.3213*(1 - 0.0243186*Z)**2) + 1.46093,-2.3,0.8646418586029829,0.8240217711685001,0.8578474441430075,6.266570494392799,5.8711293713197215,0.2879382349254407,0.306120825541213,0.2921791766651522,25.717*exp(0.733542*KDP) + 85.174*exp(-1.15326*(ZDR - 0.524294)**2 - 9.53788/(0.0779446*Z - 1)**2) - 22.8575,-2.1,0.5897814994111101,0.4388167141039957,0.5581406731148586,5.741735571060199,6.041212255305381,0.41077007014924755,0.40520655538881933,0.40939147184066355,39.7131*KDP + 107.891*RhoHV - 100.435,-1.3,0.7355297267015453,0.6618685030045298,4.736492131301997,4.738202331426906,0.3729164122374054,0.38644241584977196,-1.9000000000000001
8,0.742645903921044,0.7062718635628787,0.732225140726377,2.1747599622732583,2.5757588022751308,0.4221720064672993,0.4765132804973855,0.4375469538315873,27.2509*exp(-14.3618*(-0.227266*KDP - 0.0187999*Z + 1)**2 - 1.81149*(KDP - 0.708191*ZDR + 0.177968)**2) + 1.28936,-2.1,0.8421670517141644,0.8817623356168587,0.8537534766625265,6.344734484227293,5.991539270603339,0.2941274731218019,0.30328042738697736,0.2963566657229047,32.7792*KDP + 42.7995*exp(-1.58551*(0.587239 - ZDR)**2 - 8.90729*(1 - 0.0148648*Z)**2) + 0.79742,-2.0,0.6255843850621641,0.35579903150601366,0.5783399069714739,5.515918197864713,6.153892157528621,0.37216676789201036,0.4950548767190893,0.3999245163871626,40.3701*KDP - 8.33983*tanh(7.58426*(ZDR - 0.546183)**2) + 9.29554,-1.7,0.7367991135657909,0.6479444102285837,4.678470881455088,4.907063410135698,0.36282208249370385,0.4249495282011508,-1.9333333333333333
9,0.7375303408636611,0.7711317207854644,0.7462988711051468,2.243173885457748,2.1533725927276888,0.43051386617285226,0.41185040380592,0.4258934536510322,28.8827*exp(-10.6009*(0.0226809*Z - 1)**2 - 2.0*((2.60229 - 0.0825679*Z)*(7.27843*RhoHV - 6.90873) + (0.801722*KDP - 0.799042)*(-0.288266*ZDR - 0.979217))**2) + 1.08652,-2.3,0.8587770949645812,0.8695646550508475,0.8618369572557053,6.048107158915549,6.186060156002062,0.28994814095230104,0.2825706064984068,0.28804999312084045,137.093*exp(-1.37103*(1 - 0.291531*KDP)**2 - 2.0*(0.139432*KDP + exp(-1.16251*(0.376117 - ZDR)**2 - 14.7607*(1 - 0.0163796*Z)**2) - 0.589239)**2) - 14.2768,-2.4,0.5330385107283455,0.705094309095056,0.5939817474306821,5.747041931785976,5.049390864040269,0.4286594698751536,0.3044135673815793,0.3924366475736376,28.6847*KDP - 11.3726*tanh(-0.223793*Z + 1.55221*ZDR + 8.1941) + 12.2602,-1.7,0.7097819821855292,0.781930228310456,4.679440992053091,4.462941204256674,0.3830404923334356,0.33294485922863537,-2.1333333333333333
